Date,22058,22067,22063,22070,22004,22046,22067-2
2016-03-01,17,0.4,16.6,20,17.5,0,2
2016-04-01,5,1.1,14.3,0,2,0,5
2016-05-01,15,1.8,38.7,33,14.5,17.3,8
2016-06-01,21,1.8,15.9,29.5,22,41.9,8
2016-07-01,60,19.3,67.1,38.8,27,14.3,86
2016-08-01,40,9.1,39.3,69,42,47.3,40.5
2016-09-01,10,5.7,9.9,21.2,20,0,25.6
2016-10-01,9,3,4.1,1,9,15.9,13.4
2016-11-01,15,1.1,8,3.3,8,0,5
2016-12-01,5,1.6,0,0,0,0,7
2017-01-01,0,0,0,0,0,0,0
2017-02-01,10,0,1.3,0.4,7,2.5,0
2017-03-01,10,0,9.6,8.9,6.5,0,0
2017-04-01,0,0,0.3,7.5,0,0,0
2017-05-01,7,13.7,88,24,20,0,61.1
2017-06-01,0,7.3,19.3,32.3,29,6.8,32.6
2017-07-01,25,9,25.2,15,47,26.3,40.2
2017-08-01,20,1.2,41.3,19.2,44,28.2,5.4
2017-09-01,65,17.6,74.2,29.9,75,23,78.6
2017-10-01,5,4.2,1.5,1,3,2,18.7
2017-11-01,3,1.4,0,0,0,0,6.2
2017-12-01,0,0,0,0,0,0,0
2018-01-01,0,0.3,11,9.8,0,0,1.3
2018-02-01,10,0,33,8.6,2.5,0,0
2018-03-01,0,0,0,0,0,0,0
2018-04-01,8,5.2,2.8,14.8,5,3.8,23.2
2018-05-01,20,0,38,5.4,26,8.9,0
2018-06-01,20,7.1,36,22.5,29,47.2,31.7
2018-07-01,11,8.3,17.3,18.4,37,14.3,37
2018-08-01,30,2.4,18.8,17.4,52,21.9,10.7
2018-09-01,50,10.9,39.5,20.3,26,46.1,48.7
2018-10-01,30,0,15,19.6,19,55.4,0
2018-11-01,15,0,15.9,17.4,12,19.1,0
2018-12-01,10,0,0,0.2,0,0,0
2019-01-01,0,0,0,0,0,0,0
2019-02-01,0,0,0,0,0,0,0
2019-03-01,10,0,15,0.7,2,1,0
2019-04-01,0,0,0.4,0,0,0,0
2019-05-01,10,0,16.6,20.8,6,1.1,0
2019-06-01,0,10,76.9,15.9,42,41.9,44.6
2019-07-01,5,0,51,23.6,47,8.9,0
2019-08-01,10,0,19.8,17.4,20,47.3,0
2019-09-01,10,1,32.9,17.5,43,40.6,4.5
2019-10-01,15,1.8,44.3,6.1,13,15.9,8
2019-11-01,30,0,0.9,3.6,0,0.8,0
2019-12-01,22,3.8,13,3.4,14,0,17
